,Name,Mileage,Condition,Year,Price,Dealer,Count of ratings,Reviews
150,2016 GMC Yukon XL Denali,69962.0,Used,2016,41998,CarMax Tulsa - Now offering Curbside Pickup,17 ,No names
151,2017 Cadillac ATS-V Base,35024.0,Used,2017,47999,Thornton Chevrolet,325 ,4.6
152,2020 Volvo XC40 T5 R-Design,25757.0,Used,2020,38900,Tasca Automotive Group,5748 ,4.8
153,2011 Jaguar XK Base,46500.0,Used,2011,19500,No names,No names,No names
154,2015 Hyundai Genesis Coupe 3.8 R-Spec,86366.0,Used,2015,20777,Auto Merchants Inc.,147 ,4.0
155,2022 Hyundai Santa Cruz 2.5L SEL,18303.0,Used,2022,32975,Balise Hyundai,513 ,4.4
156,2022 Volkswagen Taos 1.5T SE,10176.0,Used,2022,26998,CarMax Baton Rouge - Now offering Curbside Pickup and Home Delivery,7 ,No names
157,2013 Ford Edge Limited,145121.0,Used,2013,11995,Briggs Fort Scott,109 ,3.6
158,2003 Audi RS6 Quattro,61370.0,Used,2003,24995,E&A Motors,10 ,3.8
159,2018 Jeep Grand Cherokee Altitude,58842.0,Used,2018,29986,Jim Wernig Chevrolet,47 ,No names
160,2021 Honda Passport Touring,8392.0,Used,2021,37399,Vaughn Automotive,131 ,2.7
161,2016 RAM ProMaster 1500 Low Roof,24917.0,Used,2016,29995,Stevens Creek Toyota,408 ,3.9
162,2008 Subaru Impreza Outback Sport Wagon,194000.0,Used,2008,5450,Gable Auto Sales,0 ,No names
163,2022 Volkswagen Passat 2.0T SE,9650.0,Volkswagen Certified,2022,25500,Coachella Valley Volkswagen,133 ,2.3
164,2022 Porsche 718 Cayman GT4,1357.0,Used,2022,139991,Porsche Beachwood,300 ,4.8
165,2017 Mercedes-Benz AMG C 63 S,36371.0,Used,2017,58900,Mercedeshowroom,16 ,2.6
166,2012 Mercedes-Benz GL-Class GL 450 4MATIC,52051.0,Used,2012,20900,Auto X-Change,23 ,1.4
167,2022 Volkswagen Atlas 3.6L SE w/Technology,10389.0,Used,2022,40326,Harper Volkswagen,887 ,4.7
168,2022 Buick Envision Essence,14538.0,Buick Certified,2022,39995,Crown Buick GMC,1217 ,4.9
169,2022 Audi SQ5 3.0T Premium,10730.0,Used,2022,52981,Infiniti of Clearwater,279 ,3.6
170,2014 Toyota Camry L,80597.0,Used,2014,15900,Brinkman Brothers Inc,No names,No names
171,2022 GMC Sierra 1500 Limited AT4,10849.0,Used,2022,61263,Keller Auto Group,2 ,No names
172,2018 Ford Escape SE,117609.0,Used,2018,15998,CarMax Norman - Now offering Curbside Pickup and Home Delivery,0 ,No names
173,2017 Chevrolet SS Base,13299.0,Used,2017,56900,Wholesale Luxury Cars LLC,15 ,3.7
174,2016 Buick Encore Base,71823.0,Used,2016,14995,H & S Motors,1 review,No names
175,1968 Pontiac Firebird 350,63000.0,Used,1968,34000,Exit5 Auto Group,118 ,4.0
176,2021 Lexus LS 500 F Sport,3523.0,Used,2021,76519,Integrity Automotive,90 ,No names
177,2021 Hyundai Elantra SEL,25212.0,Used,2021,23900,Dorsett Automotive,156 ,No names
178,2022 Kia K5 LX,23559.0,Used,2022,27496,Honda of Denton,713 ,4.5
179,2021 Hyundai Palisade SE,25590.0,Used,2021,34985,Tomlinson Motor Company,83 ,No names
180,2020 Land Rover Discovery Landmark,21014.0,Used,2020,55721,West Herr Chevrolet of Williamsville,349 ,4.8
181,2016 Mercedes-Benz AMG GT AMG GT S,43480.0,Used,2016,77995,Mint Auto Sales,189 ,3.0
182,2015 Hyundai Genesis 3.8,50382.0,Used,2015,21349,Bob Rohrman Kia,836 ,4.5
183,2018 Toyota Avalon XLE,69025.0,Toyota Certified,2018,24967,Kings Toyota,527 ,3.4
184,2019 Hyundai Kona SE,18767.0,Used,2019,23981,Kendall Ford of Eugene,1074 ,4.3
185,2008 Pontiac Solstice GXP,17101.0,Used,2008,19598,Bobby Rahal Lexus,103 ,No names
186,2020 Maserati Ghibli S Q4,39020.0,Used,2020,41988,Definitive Motors,109 ,3.9
187,2013 Lexus LX 570 Base,99130.0,Used,2013,37995,Fields Lexus Glenview,2556 ,4.8
188,2021 Volvo XC90 T6 Momentum 7 Passenger,29591.0,Volvo Certified,2021,49900,"Jaguar, Land Rover, Volvo Cars of Indianapolis",433 ,4.3
189,2019 Chevrolet Express 3500 LT,25297.0,Used,2019,38988,Honda of  Kirkland,1052 ,4.7
190,1968 Pontiac Firebird 350,63000.0,Used,1968,34000,Exit5 Auto Group,118 ,4.0
191,2021 Lexus LS 500 F Sport,3523.0,Used,2021,76519,Integrity Automotive,90 ,No names
192,2021 Hyundai Elantra SEL,25212.0,Used,2021,23900,Dorsett Automotive,156 ,No names
193,2009 Honda Pilot EX-L,134277.0,Used,2009,9950,Shift Portland,11 ,2.2
194,2019 Jaguar F-TYPE R,5301.0,Used,2019,72980,Jaguar Land Rover North Haven,60 ,4.7
195,2021 Lincoln Aviator Reserve AWD,31037.0,Used,2021,55000,Pat McGrath Chrysler Jeep Dodge RAM,313 ,4.5
196,2011 Nissan Titan S,119736.0,Used,2011,15995,East Carolina Auto Exchange,4 ,No names
197,2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,131803.0,Used,2014,14989,AutoNation Volkswagen Columbus,188 ,4.4
198,2013 BMW 535 i,65171.0,Used,2013,21495,Godspeed Motors,246 ,4.7
199,2016 Lexus RC 200t Base,55761.0,Used,2016,28954,AutoNation USA Henderson,121 ,4.3
200,2012 Acura TSX 2.4,155442.0,Used,2012,9945,Top Gear Motors,11 ,3.7
201,2021 Lincoln Corsair Reserve,19986.0,Used,2021,40690,County Ford,312 ,3.9
202,2013 Lexus LX 570 Base,99130.0,Used,2013,37995,Fields Lexus Glenview,2556 ,4.8
203,2021 Volvo XC90 T6 Momentum 7 Passenger,29591.0,Volvo Certified,2021,49900,"Jaguar, Land Rover, Volvo Cars of Indianapolis",433 ,4.3
204,2022 Kia K5 LX,23559.0,Used,2022,27496,Honda of Denton,713 ,4.5
205,2015 Hyundai Genesis 3.8,50382.0,Used,2015,21349,Bob Rohrman Kia,836 ,4.5
206,2018 Toyota Avalon XLE,69025.0,Toyota Certified,2018,24967,Kings Toyota,527 ,3.4
207,2017 Ferrari F12berlinetta ,859.0,Used,2017,1599500,Ferrari of Newport Beach,167 ,No names
208,2017 Nissan Maxima 3.5 SV,67966.0,Used,2017,20219,Bob Rohrman Kia,836 ,4.5
